202.499	64.788
207.502	67.694
212.505	70.682
217.508	73.697
222.511	76.766
227.514	80.216
236.270	82.508
245.025	79.998
246.276	76.467
248.777	73.642
251.279	69.894
253.781	66.146
256.282	63.538
260.034	60.279
262.536	57.753
263.787	54.412
266.288	52.293
271.291	48.191
274.627	45.448
283.799	43.275
293.805	45.937
302.561	47.241
324.658	46.915
344.670	47.567
360.097	46.752
372.604	49.522
380.109	52.130
386.363	54.846
391.366	56.367
397.620	59.138
406.376	61.745
413.880	64.625
418.883	65.820
430.140	68.916
433.893	70.220
445.150	72.665
459.742	75.707
470.582	77.988
483.423	80.357
499.767	82.823
515.193	84.888
528.952	86.572
544.587	88.147
559.596	89.451
576.481	90.673
588.989	91.407
612.754	92.222
629.014	92.765
641.522	92.873
673.208	92.547
688.218	91.896
702.810	91.081
720.321	89.940
737.206	88.555
751.590	87.115
767.851	85.377
787.446	82.878
799.745	80.650
815.380	78.369
837.894	73.642
847.900	71.035
856.656	68.862
864.161	66.472
872.916	64.353
881.671	61.800
890.844	58.975
899.182	56.530
906.687	54.249
914.192	51.913
920.446	49.848
930.452	46.589
936.706	44.470
942.960	42.433
947.963	39.988
954.217	38.114
960.470	35.833
965.474	33.877
970.477	31.432
977.981	29.151
984.235	26.869
989.238	25.402
995.492	23.202
1003.414	20.948
1011.752	18.720
1025.094	15.189
1034.266	13.179
1040.520	11.794
1052.611	9.539
1063.660	7.638
1080.128	5.954
1101.808	4.053
1124.323	2.260
1151.840	1.119
